species,archivo,ruta,observacion_id,usuario,fecha,licencia,atribucion,url_imagen,url_observacion
Acoelorraphe wrightii,obs_378025051.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Acoelorraphe_wrightii\obs_378025051.jpg,378025051,bromelio_67,2026-07-03,,"(c) José Rogelio Cedeño Vázquez, all rights reserved",https://static.inaturalist.org/photos/691343651/large.jpg,https://www.inaturalist.org/observations/378025051
Acoelorraphe wrightii,obs_375470309.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Acoelorraphe_wrightii\obs_375470309.jpg,375470309,tyler_irvin,2025-08-13,,"(c) Tyler Irvin, all rights reserved",https://static.inaturalist.org/photos/686411648/large.jpg,https://www.inaturalist.org/observations/375470309
Acoelorraphe wrightii,obs_368388933.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Acoelorraphe_wrightii\obs_368388933.jpg,368388933,wildbennett,2026-06-02,cc-by-nc,"(c) Bennett Gardner, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/672836608/large.jpg,https://www.inaturalist.org/observations/368388933
Acoelorraphe wrightii,obs_366888242.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Acoelorraphe_wrightii\obs_366888242.jpg,366888242,deepindigoblue,2026-05-30,,"(c) Steve Carbol, all rights reserved",https://static.inaturalist.org/photos/669959003/large.jpg,https://www.inaturalist.org/observations/366888242
Acoelorraphe wrightii,obs_366851703.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Acoelorraphe_wrightii\obs_366851703.jpg,366851703,jimw3,2026-05-30,cc-by-nc,"(c) James K. Wetterer, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/669887761/large.jpg,https://www.inaturalist.org/observations/366851703
Aiphanes lindeniana,obs_75706253.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Aiphanes_lindeniana\obs_75706253.jpg,75706253,jnsco1212,2021-04-29,cc-by-nc,"(c) Juan Sebastián Quintero, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/123886944/large.jpeg,https://www.inaturalist.org/observations/75706253
Astrocaryum malybo,obs_348521148.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_malybo\obs_348521148.jpg,348521148,autopistadelriogrande,2026-03-12,cc-by-nc,"(c) Autopista del Rio Grande S.A.S, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/635633051/large.jpg,https://www.inaturalist.org/observations/348521148
Astrocaryum malybo,obs_338317372.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_malybo\obs_338317372.jpg,338317372,autopistadelriogrande,2026-02-12,cc-by-nc,"(c) Autopista del Rio Grande S.A.S, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/615222793/large.jpg,https://www.inaturalist.org/observations/338317372
Astrocaryum malybo,obs_338249386.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_malybo\obs_338249386.jpg,338249386,juanfcruzm,2026-02-10,cc-by-nc,"(c) Juan Francisco Cruz Mejía, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/615082112/large.jpg,https://www.inaturalist.org/observations/338249386
Astrocaryum malybo,obs_331880643.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Astrocaryum_malybo\obs_331880643.jpg,331880643,george338,2025-12-21,,"(c) George, all rights reserved",https://static.inaturalist.org/photos/602166306/large.jpg,https://www.inaturalist.org/observations/331880643
