NOMBRE CIENTIFICO,NOMBRE VERNACULO,GENERO,FAMILIA,ESTADO DE AMENAZA,gbifID,species,scientificName,decimalLatitude,decimalLongitude,country,stateProvince,municipality,locality,year,month,eventDate,basisOfRecord,institutionCode,datasetName,edad_registro,decada,registro_reciente,fuente_ciudadana,duplicado_coordenada_fecha,geometry,departamento,municipio,resguardo,categoria_anp,nombre_anp,codigo_cobertura,clase_cobertura,categoria_cobertura,dist_glad_m,glad_year,glad_area_ha,glad_region,glad_view_date
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,1934717579,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,8.232778,-77.232,Colombia,Chocó,,"Alto río Bonito, camino de la finca de la familia Toro hacia la Serranía del Darién, Alto de Las Tatabras",2014.0,11.0,2014-11-19,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),Datos Depurados/sistematizados por Expedición por la historia - ColombiaBio,12.0,2010.0,True,False,True,POINT (-77.232 8.232778),Chocó,UnguÃ­a,,Reservas Forestales Protectoras Nacionales,Darien,3,Bosque,Bosque natural,1773.1,2022,1.63,Pacifico,2022-02-26 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,4026681986,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,8.232778,-77.232,Colombia,Chocó,,"Serranía del Darién, Alto de Las Tatabras",2014.0,11.0,2014-11-19,PRESERVED_SPECIMEN,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),Contrato IAvH- Jardín Botánico del Quindío No 14-12-067-275PS,12.0,2010.0,True,False,True,POINT (-77.232 8.232778),Chocó,UnguÃ­a,,Reservas Forestales Protectoras Nacionales,Darien,3,Bosque,Bosque natural,1773.1,2022,1.63,Pacifico,2022-02-26 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,2270429059,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,6.699083,-76.5605,Colombia,Antioquia,Frontino,Extremo occidental del municipio de Frontino,2011.0,10.0,2011-10-05/2011-10-08,HUMAN_OBSERVATION,IIAP,,15.0,2010.0,True,False,False,POINT (-76.5605 6.699083),Antioquia,Frontino,Resguardo IndÃ­gena Murri-pantanos,,,3,Bosque,Bosque natural,1527.3,2024,1.43,Andes,2024-02-21 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,1268750510,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.7495,-76.522778,Colombia,Chocó,,Tutunendo,2010.0,3.0,2010-03-02,LIVING_SPECIMEN,Jardín Botánico del Quindío (JBQ),,16.0,2010.0,True,False,False,POINT (-76.522778 5.7495),Chocó,Valledupar,,,,3,Bosque,Bosque natural,4784.8,2024,1.15,Pacifico,2024-07-15 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,1934688852,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.7495,-76.522778,Colombia,Chocó,,Estación Ambiental Biológica de Tutunendó.,2010.0,3.0,2010-03-03,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),Datos Depurados/sistematizados por Expedición por la historia - ColombiaBio,16.0,2010.0,True,False,False,POINT (-76.522778 5.7495),Chocó,Valledupar,,,,3,Bosque,Bosque natural,4784.8,2024,1.15,Pacifico,2024-07-15 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,4026657036,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.749722,-76.522778,Colombia,Chocó,,Tutunendo,2010.0,3.0,2010-03-02,PRESERVED_SPECIMEN,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),,16.0,2010.0,True,False,False,POINT (-76.522778 5.749722),Chocó,Valledupar,,,,3,Bosque,Bosque natural,4809.2,2024,1.15,Pacifico,2024-07-15 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,3390903805,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.22224,-76.64183,Colombia,Chocó,El Plan de Raspadura,"Corregimiento de Raspadura, Pila Martín",2004.0,8.0,2004-08-14,PRESERVED_SPECIMEN,Universidad Tecnológica del Chocó (UTCH),,22.0,2000.0,False,False,False,POINT (-76.64183 5.22224),Chocó,UniÃ³n Panamericana,,,,30,Minería,Área transformada,2409.2,2024,7.84,Pacifico,2024-02-11 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,3390903826,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.22224,-76.64183,Colombia,Chocó,El Plan de Raspadura,"Corregimiento de Raspadura, La Chamba",2004.0,8.0,2004-08-16,PRESERVED_SPECIMEN,Universidad Tecnológica del Chocó (UTCH),,22.0,2000.0,False,False,False,POINT (-76.64183 5.22224),Chocó,UniÃ³n Panamericana,,,,30,Minería,Área transformada,2409.2,2024,7.84,Pacifico,2024-02-11 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,1890986137,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,5.741944,-76.275833,Colombia,Chocó,,"Municipio de El Carmén, Vda. El Doca, carretera Medellín-Quibdó, km 151, río Atrato, márgen izquierda.",1986.0,1.0,1986-01-05,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),Datos Depurados/sistematizados por Expedición por la historia - ColombiaBio,40.0,1980.0,False,False,False,POINT (-76.275833 5.741944),Chocó,El Carmen,,,,21,Mosaico de agricultura o pasto,Uso productivo,1557.5,2022,1.01,Andes,2022-07-16 00:00:00
Aiphanes acaulis,Mararay sin tallo,Aiphanes,Arecaceae,EN,122898471,Aiphanes acaulis,Aiphanes acaulis Galeano & R.Bernal,4.61106,-76.3385,Colombia,Choco,,,1986.0,7.0,1986-07-06,PRESERVED_SPECIMEN,FTG,,40.0,1980.0,False,False,False,POINT (-76.3385 4.61106),Chocó,SipÃ­,,,,3,Bosque,Bosque natural,3866.6,2022,1.38,Andes,2022-07-16 00:00:00
