IDENTIFICACION,IDENTIFICACION TAXONOMICA,NOMBRE CIENTIFICO,CLASIFICACION SUPERIOR,REINO,FILO,CLASE,ORDEN,FAMILIA,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,RANGO DE TAXON,NOMBRE CIENTIFICO 1,NOMBRE VERNACULO,CODIGO NOMENCLATURA,ESTADO TAXONOMICO,TAXON OBSERVACIONES,LENGUAJE,ESTADO DE AMENAZA
gbif.org/species/166199832,gbif.org/species/166199832,Acoelorraphe wrightii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Acoelorraphe,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Acoelorraphe,wrightii,NA,Especie,(Griseb. & H.Wendl.) Becc.,Wild Pop Thatch,ICN,Aceptado,Nombre original validado: Acoelorraphe wrightii,es,VU
gbif.org/species/2738692,gbif.org/species/2738692,Aiphanes acaulis,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,acaulis,NA,Especie,Galeano & R.Bernal,Mararay sin tallo,ICN,Aceptado,Nombre original validado: Aiphanes acaulis,es,EN
gbif.org/species/7860099,gbif.org/species/7860099,Aiphanes buenaventurae,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,buenaventurae,NA,Especie,R.Bernal & Borchs.,NA,ICN,Aceptado,Nombre original validado: Aiphanes buenaventurae,es,EN
gbif.org/species/2738682,gbif.org/species/2738682,Aiphanes duquei,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,duquei,NA,Especie,Burret,Mararay de Duque,ICN,Aceptado,Nombre original validado: Aiphanes duquei,es,EN
gbif.org/species/2738667,gbif.org/species/2738667,Aiphanes gelatinosa,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,gelatinosa,NA,Especie,H.E.Moore,Mararay Gelatinoso,ICN,Aceptado,Nombre original validado: Aiphanes gelatinosa,es,EN
gbif.org/species/2738691,gbif.org/species/2738691,Aiphanes graminifolia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,graminifolia,NA,Especie,Galeano & R.Bernal,Mararay macanillo,ICN,Aceptado,Nombre original validado: Aiphanes graminifolia,es,CR
gbif.org/species/2738655,gbif.org/species/2738655,Aiphanes killipii,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,killipii,NA,Especie,(Burret) Burret,NA,ICN,Aceptado,Nombre original validado: Aiphanes killipii,es,CR
gbif.org/species/2738694,gbif.org/species/2738694,Aiphanes leiostachys,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,leiostachys,NA,Especie,Burret,Mararay de San Carlos,ICN,Aceptado,Nombre original validado: Aiphanes leiostachys,es,CR
gbif.org/species/2738716,gbif.org/species/2738716,Aiphanes lindeniana,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,lindeniana,NA,Especie,(H.Wendl.) H.Wendl.,NA,ICN,Aceptado,Nombre original validado: Aiphanes lindeniana,es,EN
gbif.org/species/2738666,gbif.org/species/2738666,Aiphanes parvifolia,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,parvifolia,NA,Especie,Burret,Mararay hojipequeño,ICN,Aceptado,Nombre original validado: Aiphanes parvifolia,es,EN
gbif.org/species/2738663,gbif.org/species/2738663,Aiphanes pilaris,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Aiphanes,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Aiphanes,pilaris,NA,Especie,R.Bernal,Marary de pilar,ICN,Aceptado,Nombre original validado: Aiphanes pilaris | Nuevo taxón incluido,es,CR
gbif.org/species/2738128,gbif.org/species/2738128,Astrocaryum malybo,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Astrocaryum,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Astrocaryum,malybo,NA,Especie,H.Karst.,Palma estera,ICN,Aceptado,Nombre original validado: Astrocaryum malybo,es,EN
gbif.org/species/2738138,gbif.org/species/2738138,Astrocaryum triandrum,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Astrocaryum,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Astrocaryum,triandrum,NA,Especie,"Galeano, R.Bernal & F.Kahn",Guatinajo,ICN,Aceptado,Nombre original validado: Astrocaryum triandrum | Nuevo taxón incluido,es,EN
gbif.org/species/2732713,gbif.org/species/2732713,Attalea amygdalina,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,amygdalina,NA,Especie,Kunth,Táparo del Río Cauca,ICN,Aceptado,Nombre original validado: Attalea amygdalina,es,EN
gbif.org/species/2732676,gbif.org/species/2732676,Attalea cohune,Plantae | Tracheophyta | Magnoliopsida | Magnoliidae | Lilianae | Arecales | Arecaceae | Attalea,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Attalea,cohune,NA,Especie,Mart.,Mamarrón,ICN,Aceptado,Nombre original validado: Attalea cohune,es,EN
