institutionCode,count
Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),5982
Parques Nacionales Naturales de Colombia (PNN),1598
AAU,913
Universidad Nacional de Colombia (UNAL),712
iNaturalist,617
Corporación Centro de Investigación en Palma de Aceite (Cenipalma),506
Geopark Colombia S.A.S. (Geopark),378
IIAP,294
WCS Colombia (WCS),286
Ecopetrol S.A.,260
PROMIGAS S.A. E.S.P. (Promigas),166
Universidad Industrial de Santander (UIS),155
Empresas Públicas de Medellín E.S.P. (EPM),132
Universidad del Valle (UV),85
ECOPETROL S.A.,82
MO,62
Universidad Tecnológica de Pereira (UTP),52
Bioversity,41
ITAl001|MYS0001,41
Construcciones y Ambiente Conambiente S.A.S,38
ISA INTERCOLOMBIA E.S.P. S.A.,38
Jardín Botánico del Quindío (JBQ),37
CORNARE,35
Cerro Matoso S.A (CMSA),35
Jardín Botánico de Cali - FZC (JBC),34
NY,32
Universidad Icesi (ICESI),30
Universidad de Antioquia (UdeA),29
"Jardín Botánico de Cartagena ""Guillermo Piñeres"" (JBC)",27
Jardín Botánico de Bogotá José Celestino Mutis (JBB),27
Isagen S.A E.S.P (Isagen),26
"Jardín Botánico de Bogotá ""José Celestino Mutis"" (JBB)",25
UNIVALLE,24
Fundación Desarrollo y Ambiente FUNDA,22
AU,21
Corporación Autónoma Regional de Cundinamarca (CAR),21
Universidad de Caldas (UCaldas),20
Sin dato,19
JAUM,18
Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,18
Fundación Ecotrópico Colombia,16
Corporación Autónoma Regional del Quindío (CRQ),15
Frontera Energy Colombia Corp,15
Secretaría Distrital de Ambiente (SDA),14
Parex Resources (Colombia) AG Sucursal,14
Corpoguavio,13
Universidad del Quindío (UniQuindío),12
HUA,12
FNC,11
COL,9
Ecopetrol S.A,9
ISA INTERCOLOMBIA S.A E.S.P,9
FTG,7
Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt,7
Corporación Autónoma Regional Para la Defensa de la Meseta de Bucaramanga (CDMB),7
Pontificia Universidad Javeriana (PUJ),7
CVC,7
Fundación Estación Biológica Guayacanal,6
Universidad Distrital Francisco José de Caldas (UDistrital),6
Smurfit Westrock Colombia,6
Corporación Autónoma Regional de Caldas (CORPOCALDAS),6
AngloGold Ashanti Colombia S.A.S. (AGAC),6
Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,6
"Instituto de Hidrología, Meteorología y Estudios Ambientales (IDEAM)",6
UT,5
JBGP,5
CRQ,5
MICH,5
GeoPark Colombia S.A.S (GeoPark),5
Corporación Autónoma Regional de Valle del Cauca (CVC),4
WCS Colombia,4
US,4
Asociación de Becarios de Casanare (ABC),4
Frontera Energy Colombia Corp.,4
ABC Colombia Somos Territorio (ABC),4
Asociación de Becarios del Casanare (ABC),4
Universidad Tecnológica del Chocó (UTCH),3
"Mined from GenBank, NCBI",3
Instituto de Recursos Biológicos Alexander von Humboldt (IAvH),3
Corporación Autónoma Regional del Tolima (CORTOLIMA),3
Corporación Autónoma Regional de la Orinoquia - Corporinoquia,3
CPR,3
Universidad de Caldas (UCALDAS),3
Universidad de la Amazonia (UniAmazonia),3
IAvH,3
Inerco Consultoría Colombia Ltda,3
Parex Resources (Colombia) AG Sucursal (Parex),3
Instituto Amazónico de Investigaciones Científicas (SINCHI),3
SierraCol Energy,3
K,2
Universidad Católica de Oriente (UCO),2
Universidad Pedagógica y Tecnológica de Colombia (UPTC),2
Grupo Prodeco,2
Fundación ALMA,2
Más Biomas S.A.S.,2
Fundación Ecológica Fedena (FEDENA),2
SDA,2
Universidad del Tolima (UT),2
CRQ - Corporación Autónoma Regional del Quindío,2
Corporación Autónoma Regional del Valle del Cauca,2
Universidad Industrial de Santander,1
Fundación ProAves de Colombia (ProAves),1
CORPOGUAVIO,1
NABU|naturgucker,1
Distrito Especial de Medellín (DEMedellin),1
UDEA,1
Alcaldía Municipal de Garzón en Huila,1
Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare - CORNARE,1
GOET,1
Isagen S.A E.S.P (ISAGEN),1
ISAGEN S.A E.S.P (ISAGEN),1
HOCOL S.A,1
Celsia Colombia S.A. E.S.P. (Celsia),1
Universidad de Córdoba (UC),1
Universidad del Magdalena (UNIMAG),1
UIS,1
Tecnológico de Antioquia (TdA),1
GeoPark Colombia S.A.S (Geopark),1
"""ABC """"Asociación de Becarios de Casanare""",1
Instituto Amazónico de Investigaciones Científicas - SINCHI,1
Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca (INCIVA),1
Construcciones y Ambiente Conambiente S.A.S (Conambiente),1
USF,1
Icesi,1
Universidad del Valle (UNIVALLE),1
