municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
San Francisco,10,54.05,45.95,2,0,6,45,25,50,47,7,45,227
Acandí,9,83.33,16.67,34,51,45,29,37,28,49,114,100,487
El Carmen,8,76.19,23.81,31,14,62,34,23,644,239,135,147,1329
San Luis,8,64.52,32.26,3,0,7,21,26,38,15,18,27,155
San Carlos,8,81.82,18.18,6,0,7,9,21,31,32,14,40,160
Sonsón,7,71.43,21.43,4,0,0,38,38,18,13,18,22,151
Cali,7,39.87,37.97,2,0,0,0,0,0,1,0,0,3
Cimitarra,7,63.33,36.67,14,0,10,7,4,119,157,105,145,561
Medellín,7,30.0,40.0,0,0,0,0,0,0,5,13,0,18
Puerto Nare,6,33.33,66.67,2,0,2,5,3,15,10,13,19,69
Norcasia,6,5.88,94.12,1,0,0,0,5,0,1,2,0,9
San Vicente de Chucurí,6,85.71,14.29,4,4,14,4,9,103,139,160,90,527
Ríosucio,6,31.91,68.09,263,640,286,497,294,591,697,631,522,4421
Manizales,6,47.37,36.84,0,0,0,0,0,0,0,0,0,0
Carmen de Viboral,6,100.0,0.0,0,0,0,0,5,0,7,0,0,12
Amalfi,6,53.85,46.15,9,14,23,78,24,98,161,60,104,571
Anorí,6,71.43,28.57,52,50,52,99,28,113,70,62,79,605
Bucaramanga,5,16.67,50.0,0,1,0,0,0,0,0,2,0,3
Puerto Boyacá,5,10.53,89.47,0,0,5,5,5,3,8,15,21,62
Salento,5,39.82,52.21,1,0,0,0,0,0,0,0,0,1
Tona,5,84.21,15.79,1,0,1,0,0,2,0,0,0,4
Barrancabermeja,4,51.35,45.95,9,0,2,1,3,81,45,37,33,211
Arcabuco,4,57.14,42.86,0,0,0,0,0,0,0,0,0,0
Tuluá,4,28.57,71.43,2,5,0,0,0,0,0,0,26,33
Bello,4,35.29,47.06,1,0,0,0,0,0,1,0,0,2
"Bogotá, D.C.",4,21.15,21.15,0,0,0,0,0,0,0,0,0,0
Palmira,4,33.33,66.67,0,0,0,0,0,0,0,0,0,0
Toledo,4,80.0,20.0,7,2,1,0,15,29,7,39,20,120
Támesis,4,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Turbaco,4,0.0,58.33,0,0,0,0,0,0,0,0,0,0
Puerto Triunfo,4,18.6,81.4,0,0,1,0,0,2,1,0,1,5
Ríonegro,4,28.57,57.14,1,3,6,3,5,68,93,36,34,249
Cantagallo,4,100.0,0.0,19,57,120,163,87,119,96,61,81,803
Santa Rosa de Cabal,4,57.97,15.94,0,0,0,0,1,0,0,0,0,1
Pereira,4,53.66,14.63,2,0,0,0,0,0,0,0,0,2
Girón,4,20.0,40.0,0,0,2,0,5,15,27,23,20,92
