municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,pred_alertas_2026
San José del Guaviare,2,100.0,0.0,909,1721,1675,1402,1055,676,1086,2198,2466,13188,1970.8533333333332
Tibú,1,0.0,0.0,518,935,1912,1581,1063,1045,2173,1880,1550,12657,1736.58
Uribe,1,100.0,0.0,282,466,248,135,321,288,210,1942,1471,5363,1045.37
Puerto Leguízamo,1,0.0,100.0,259,134,519,812,500,622,455,780,766,4847,910.5266666666666
Ríosucio,6,31.91,68.09,263,640,286,497,294,591,697,631,522,4421,879.91
Puerto Asís,1,100.0,0.0,251,91,460,670,419,869,530,210,288,3788,867.6466666666666
Vistahermosa,1,0.0,100.0,160,449,275,498,467,360,232,1797,1071,5309,851.0666666666667
Tierralta,3,44.44,55.56,378,415,97,101,129,443,200,326,830,2919,841.9833333333333
Miraflores,1,0.0,100.0,141,119,298,225,260,188,347,459,776,2813,701.81
El Bagre,2,33.33,0.0,59,80,50,106,24,124,92,293,608,1436,627.33
Segovia,2,0.0,50.0,103,162,74,102,38,183,278,278,294,1512,580.0933333333334
El Carmen,8,76.19,23.81,31,14,62,34,23,644,239,135,147,1329,348.2966666666667
Santa Rosa del Sur,1,100.0,0.0,26,49,15,118,22,152,120,81,267,850,345.7733333333333
Santa Marta,2,86.96,13.04,227,365,281,273,79,23,264,18,239,1769,294.2133333333333
Arauquita,2,16.67,83.33,32,15,42,28,4,22,53,48,273,517,257.18666666666667
Unguía,3,75.0,25.0,51,69,87,61,101,81,143,113,90,796,212.32
Montelíbano,3,36.36,63.64,32,36,18,14,38,200,192,84,140,754,208.53
Sabana de Torres,1,75.0,25.0,10,2,16,8,8,132,232,222,162,792,200.4
Cimitarra,7,63.33,36.67,14,0,10,7,4,119,157,105,145,561,178.25333333333333
Yondó,2,100.0,0.0,44,54,48,53,10,81,183,88,142,703,175.01666666666668
Carmen del Darién,1,100.0,0.0,125,295,50,67,48,111,79,55,177,1007,169.19
Zaragoza,1,100.0,0.0,49,116,74,77,25,131,82,129,210,893,164.30333333333334
Mocoa,1,100.0,0.0,14,13,91,46,72,122,78,99,196,731,161.91
Puerto Gaitán,2,100.0,0.0,43,6,10,14,1,39,178,258,93,642,160.94
El Carmen de Bolívar,1,0.0,100.0,0,160,110,108,22,121,343,72,37,973,159.46666666666667
Bolívar,1,100.0,0.0,6,2,22,39,27,120,113,80,164,573,158.92
Amalfi,6,53.85,46.15,9,14,23,78,24,98,161,60,104,571,158.32
Cantagallo,4,100.0,0.0,19,57,120,163,87,119,96,61,81,803,151.23333333333332
Buenaventura,1,100.0,0.0,63,24,5,18,28,152,136,51,63,540,140.98333333333332
San Vicente de Chucurí,6,85.71,14.29,4,4,14,4,9,103,139,160,90,527,135.61333333333334
Tumaco,3,11.11,66.67,209,42,22,20,13,82,206,99,59,752,115.63666666666667
Argelia,2,50.0,50.0,26,20,13,15,1,26,36,0,14,151,111.51
Cáceres,1,100.0,0.0,40,91,79,34,10,187,46,23,39,549,108.34333333333333
ETI Yaigojé Apaporis,1,100.0,0.0,0,0,14,224,53,30,125,80,53,579,107.03666666666666
San Pablo,2,66.67,33.33,24,53,57,132,43,70,96,95,77,647,101.35666666666667
Santa Rosa,2,33.33,33.33,30,7,0,39,40,205,34,36,32,423,100.19333333333333
Anorí,6,71.43,28.57,52,50,52,99,28,113,70,62,79,605,98.01333333333334
Juradó,3,100.0,0.0,11,134,31,50,22,69,128,86,10,541,97.62666666666667
Mutatá,2,25.0,75.0,76,138,31,9,2,24,18,1,13,312,96.64
Arauca,1,100.0,0.0,1,9,15,1,1,9,1,3,211,251,96.42
Valledupar,1,100.0,0.0,98,129,52,47,10,73,84,89,48,630,95.75
Florencia,2,100.0,0.0,75,4,29,1,38,109,211,106,46,619,95.44333333333333
San Jacinto,1,60.0,20.0,1,61,116,29,5,61,104,32,75,484,94.2
Urrao,1,25.0,75.0,131,14,13,1,0,50,38,77,177,501,93.79666666666667
Tame,1,100.0,0.0,16,3,13,22,15,10,12,25,164,280,91.34333333333333
Guapi,1,0.0,100.0,10,16,16,32,32,174,29,7,26,342,87.15666666666667
Acandí,9,83.33,16.67,34,51,45,29,37,28,49,114,100,487,84.51333333333334
Támara,1,50.0,50.0,11,2,3,0,6,8,14,0,90,134,76.37333333333333
Bajo Baudó,1,100.0,0.0,94,244,49,39,21,16,152,26,43,684,73.84666666666666
Puerto Libertador,2,0.0,100.0,45,38,8,0,30,101,27,16,94,359,72.35333333333334
Barbacoas,2,100.0,0.0,95,34,23,32,10,101,124,26,24,469,71.22333333333333
Santa Bárbara,4,62.5,0.0,9,4,12,25,26,115,41,36,56,324,68.66333333333333
María La Baja,1,0.0,100.0,0,17,20,17,8,0,24,3,3,92,67.85
Simacota,1,50.0,50.0,7,2,2,2,5,78,106,75,64,341,65.54
Belén de Los Andaquíes,1,0.0,100.0,34,15,123,17,27,56,42,57,55,426,64.95333333333333
Frontino,3,42.86,57.14,116,91,10,2,2,45,37,26,68,397,61.29
