NOMBRE CIENTIFICO,nombre_vernaculo,genero,familia,estado_amenaza,total_ocurrencias,primer_registro,ultimo_registro,años_monitoreados,edad_ultimo_registro,registros_recientes,porcentaje_recientes,departamentos,municipios,instituciones,datasets,posibles_duplicados,porcentaje_duplicados,registros_inaturalist,porcentaje_inaturalist,human_observation,preserved_specimen,living_specimen,machine_observation
Ceroxylon quindiuense,Palma de cera del Quindío,Ceroxylon,Arecaceae,EN,6707,1853,2026,173,0,6631,98.96,16,17,34,21,6137,91.5,371,5.53,6443,162,1,100
Elaeis oleifera,Nolí,Elaeis,Arecaceae,EN,2028,1974,2026,52,0,1846,97.83,19,17,36,24,1100,54.24,21,1.04,1847,43,92,0
Ceroxylon vogelianum,,Ceroxylon,Arecaceae,VU,1101,1940,2025,85,1,1006,91.45,14,4,21,12,1020,92.64,38,3.45,1013,86,1,0
Syagrus sancona,Sarare,Syagrus,Arecaceae,VU,838,1939,2025,86,1,744,97.77,14,9,36,31,593,70.76,30,3.58,735,30,73,0
Astrocaryum malybo,Palma estera,Astrocaryum,Arecaceae,EN,547,1940,2026,86,0,479,89.87,13,12,27,18,452,82.63,5,0.91,458,72,1,2
Ceroxylon alpinum,Palma de cera de la zona cafetera,Ceroxylon,Arecaceae,EN,242,1970,2026,56,0,92,38.02,9,5,16,12,184,76.03,22,9.09,64,176,1,0
Aiphanes lindeniana,,Aiphanes,Arecaceae,EN,206,1940,2025,85,1,66,32.84,14,3,15,12,164,79.61,1,0.49,50,154,0,0
Attalea amygdalina,Táparo del Río Cauca,Attalea,Arecaceae,EN,193,1944,2025,81,1,20,55.56,4,2,8,4,174,90.16,4,2.07,14,172,1,0
Ceroxylon sasaimae,Palma de Cera de Sasaima,Ceroxylon,Arecaceae,EN,171,1945,2026,81,0,57,33.33,5,0,10,7,139,81.29,21,12.28,35,133,2,0
Ceroxylon parvifrons,,Ceroxylon,Arecaceae,VU,131,1941,2026,85,0,87,66.92,14,2,12,8,58,44.27,42,32.06,86,44,1,0
Wettinia hirsuta,Gualte Mazorca,Wettinia,Arecaceae,VU,111,1941,2023,82,3,82,75.23,7,1,18,9,69,62.16,0,0.0,63,47,0,0
Cryosophila kalbreyeri,Palma Escoba,Cryosophila,Arecaceae,VU,99,1926,2025,99,1,35,38.89,7,1,18,7,68,68.69,9,9.09,38,56,0,0
Ceroxylon ceriferum,,Ceroxylon,Arecaceae,EN,90,1946,2026,80,0,64,73.56,3,0,7,6,41,45.56,41,45.56,43,46,1,0
Coccothrinax argentata,Palmicha de Providencia,Coccothrinax,Arecaceae,EN,81,1966,2021,55,5,64,79.01,2,0,4,4,65,80.25,0,0.0,60,20,0,1
Roystonea oleracea,,Roystonea,Arecaceae,CR,75,1997,2024,27,2,71,98.61,7,4,15,16,52,69.33,0,0.0,73,2,0,0
Attalea nucifera,Almendrón,Attalea,Arecaceae,VU,54,1977,2025,48,1,39,76.47,5,3,10,10,36,66.67,2,3.7,6,47,1,0
Wettinia microcarpa,Maquenque | Gualte Mapora,Wettinia,Arecaceae,VU,52,1987,2021,34,5,42,84.0,2,2,5,7,42,80.77,2,3.85,10,40,2,0
Aiphanes parvifolia,Mararay hojipequeño,Aiphanes,Arecaceae,EN,49,1982,2017,35,9,32,68.09,1,0,10,6,36,73.47,0,0.0,5,39,4,0
Hyospathe frontinensis,Guagualín de Frontino,Hyospathe,Arecaceae,VU,47,1983,2017,34,9,21,44.68,2,0,8,6,35,74.47,0,0.0,1,44,0,0
Chamaedorea ricardoi,Molinillo de Ricardo,Chamaedorea,Arecaceae,EN,44,1984,2024,40,2,34,79.07,4,1,12,6,35,79.55,0,0.0,3,37,2,0
Geonoma chlamydostachys,Geonoma del Magdalena,Geonoma,Arecaceae,VU,35,1977,2021,44,5,10,28.57,4,1,11,5,23,65.71,1,2.86,9,24,2,0
