stateProvince,count
Tolima,4279
Meta,1643
Santander,1428
Antioquia,1125
Choc�/Alto Putumayo,913
Valle del Cauca,656
Casanare,494
Chocó,400
Quindío,377
Cundinamarca,324
Córdoba,180
Sucre,160
Bolívar,150
Risaralda,146
Cesar,137
Caldas,135
Sin dato,119
Magdalena,109
"Bogotá, D.C.",84
Boyacá,82
"Archipiélago de San Andrés, Providencia y Santa Catalina",80
Nariño,69
Huila,41
Norte de Santander,36
Putumayo,35
La Guajira,32
Arauca,20
Amazonas,14
Cauca,11
Caquetá,4
Cordoba,3
Choco,2
Narino,2
Boyaca,2
Vaupés,2
Bolivar,1
Antioqia,1
Choc�,1
Quindio,1
San Andrés & Providencia,1
Atlántico,1
Vichada,1
Guaviare,1
Meta Dept.,1
