year,count
1853.0,2
1880.0,1
1926.0,2
1939.0,4
1940.0,16
1941.0,41
1943.0,2
1944.0,3
1945.0,3
1946.0,14
1949.0,3
1952.0,3
1955.0,4
1959.0,11
1961.0,2
1966.0,11
1967.0,5
1970.0,11
1974.0,14
1975.0,3
1976.0,5
1977.0,9
1978.0,8
1979.0,41
1980.0,115
1981.0,9
1982.0,41
1983.0,45
1984.0,25
1985.0,104
1986.0,25
1987.0,47
1988.0,40
1989.0,36
1990.0,18
1991.0,17
1992.0,8
1993.0,21
1994.0,15
1995.0,9
1996.0,5
1997.0,7
1998.0,1
1999.0,36
2000.0,213
2001.0,15
2002.0,6
2003.0,18
2004.0,26
2006.0,4
2007.0,2
2008.0,45
2009.0,33
2010.0,54
2011.0,1023
2012.0,183
2013.0,192
2014.0,108
2015.0,95
2016.0,140
2017.0,4239
2018.0,586
2019.0,2080
2020.0,379
2021.0,567
2022.0,1170
2023.0,290
2024.0,226
2025.0,264
2026.0,47
