municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
Cartagena del Chairá,910,1134,1082,838,802,807,1034,4128,6294,17029,0.0,0.0,0.0,4834.6
Mapiripán,216,468,617,861,892,1543,2083,3135,3466,13281,0.0,0.0,0.0,3430.2633333333333
La Macarena,325,1472,1241,991,989,1120,484,3947,3319,13888,0.0,0.0,0.0,3173.49
Calamar,316,920,700,561,676,591,1341,2494,3292,10891,0.0,0.0,0.0,3035.4366666666665
San José del Guaviare,909,1721,1675,1402,1055,676,1086,2198,2466,13188,2.0,100.0,0.0,3020.5666666666666
Tibú,518,935,1912,1581,1063,1045,2173,1880,1550,12657,1.0,0.0,0.0,2964.9733333333334
San Vicente del Caguán,1815,1580,1432,1134,693,509,910,2769,2031,12873,0.0,0.0,0.0,2803.71
Puerto Guzmán,332,462,727,931,548,1054,851,1773,2751,9429,0.0,0.0,0.0,2772.713333333333
El Retorno,185,916,914,724,627,391,932,980,2204,7873,0.0,0.0,0.0,2577.193333333333
Solano,345,543,341,592,371,432,706,2453,1822,7605,0.0,0.0,0.0,1965.4733333333334
Puerto Rico,336,400,419,554,309,331,313,2100,1850,6612,0.0,0.0,0.0,1744.32
Uribe,282,466,248,135,321,288,210,1942,1471,5363,1.0,100.0,0.0,1585.7266666666667
Vistahermosa,160,449,275,498,467,360,232,1797,1071,5309,1.0,0.0,100.0,1396.81
Puerto Leguízamo,259,134,519,812,500,622,455,780,766,4847,1.0,0.0,100.0,1262.53
Puerto Asís,251,91,460,670,419,869,530,210,288,3788,1.0,100.0,0.0,1072.0066666666667
Ríosucio,263,640,286,497,294,591,697,631,522,4421,6.0,31.91,68.09,981.4033333333333
Tierralta,378,415,97,101,129,443,200,326,830,2919,3.0,44.44,55.56,920.77
Puerto Caicedo,91,61,186,329,189,526,383,198,578,2541,0.0,0.0,0.0,781.7033333333334
Cumaribo,241,147,139,497,176,235,442,920,831,3628,0.0,0.0,0.0,778.6433333333333
Villagarzón,41,30,240,208,151,488,269,145,318,1890,0.0,0.0,0.0,713.4333333333333
Miraflores,141,119,298,225,260,188,347,459,776,2813,1.0,0.0,100.0,686.6433333333333
Orito,149,9,316,393,320,882,514,157,205,2945,0.0,0.0,0.0,657.9833333333333
Sardinata,54,198,401,399,163,246,526,225,361,2573,0.0,0.0,0.0,639.49
Mitú,0,2,204,490,159,172,450,496,387,2360,0.0,0.0,0.0,535.5566666666666
El Carmen,31,14,62,34,23,644,239,135,147,1329,8.0,76.19,23.81,504.28
Segovia,103,162,74,102,38,183,278,278,294,1512,2.0,0.0,50.0,501.7
Piamonte,65,13,9,83,104,578,143,67,79,1141,0.0,0.0,0.0,463.12333333333333
El Bagre,59,80,50,106,24,124,92,293,608,1436,2.0,33.33,0.0,452.9066666666667
Montañita,14,18,18,15,12,541,117,83,90,908,0.0,0.0,0.0,450.49
Valle del Guamuez,160,26,143,178,181,390,227,109,156,1570,0.0,0.0,0.0,435.04333333333335
Remedios,153,78,88,79,46,154,444,534,470,2046,0.0,0.0,0.0,434.80333333333334
Santa Marta,227,365,281,273,79,23,264,18,239,1769,2.0,86.96,13.04,419.43666666666667
Bojayá,258,379,41,99,16,260,65,77,42,1237,0.0,0.0,0.0,328.0
Mocoa,14,13,91,46,72,122,78,99,196,731,1.0,100.0,0.0,320.9766666666667
Alto Baudó,47,382,49,35,34,138,186,72,38,981,0.0,0.0,0.0,311.4766666666667
Carmen del Darién,125,295,50,67,48,111,79,55,177,1007,1.0,100.0,0.0,289.89
Zaragoza,49,116,74,77,25,131,82,129,210,893,1.0,100.0,0.0,288.29333333333335
Santa Rosa del Sur,26,49,15,118,22,152,120,81,267,850,1.0,100.0,0.0,280.81333333333333
Montelíbano,32,36,18,14,38,200,192,84,140,754,3.0,36.36,63.64,277.60333333333335
Cantagallo,19,57,120,163,87,119,96,61,81,803,4.0,100.0,0.0,273.6766666666667
Cimitarra,14,0,10,7,4,119,157,105,145,561,7.0,63.33,36.67,248.26666666666668
Bolívar,6,2,22,39,27,120,113,80,164,573,1.0,100.0,0.0,237.64333333333335
Sabana de Torres,10,2,16,8,8,132,232,222,162,792,1.0,75.0,25.0,237.41666666666666
Arauquita,32,15,42,28,4,22,53,48,273,517,2.0,16.67,83.33,235.08
Sin decisión Pol Adm Leticia,6,5,28,291,97,144,204,132,90,997,0.0,0.0,0.0,219.39666666666668
Buenaventura,63,24,5,18,28,152,136,51,63,540,1.0,100.0,0.0,214.72
López,64,36,27,19,25,175,97,71,113,627,0.0,0.0,0.0,214.05666666666667
El Carmen de Bolívar,0,160,110,108,22,121,343,72,37,973,1.0,0.0,100.0,208.59
Montecristo,21,35,44,44,56,130,111,120,107,668,0.0,0.0,0.0,205.61333333333334
Barranco Mina,5,4,8,12,19,149,151,139,117,604,0.0,0.0,0.0,202.3
Convención,29,41,74,35,20,198,96,39,58,590,0.0,0.0,0.0,199.83333333333334
Lloró,6,124,16,0,5,155,81,108,124,619,0.0,0.0,0.0,198.94333333333333
ETI UITIBOC-ASOAINTAM,0,0,5,23,3,196,8,3,7,245,0.0,0.0,0.0,180.83
Guapi,10,16,16,32,32,174,29,7,26,342,1.0,0.0,100.0,180.55
Urrao,131,14,13,1,0,50,38,77,177,501,1.0,25.0,75.0,176.86666666666667
Mesetas,92,187,60,16,32,164,47,469,24,1091,0.0,0.0,0.0,176.20333333333335
El Charco,49,42,91,184,41,119,60,9,12,607,0.0,0.0,0.0,176.15
Santa Rosa,30,7,0,39,40,205,34,36,32,423,2.0,33.33,33.33,174.76666666666668
Cáceres,40,91,79,34,10,187,46,23,39,549,1.0,100.0,0.0,172.81
Arauca,1,9,15,1,1,9,1,3,211,251,1.0,100.0,0.0,167.36666666666667
Leticia,0,0,22,186,103,130,157,38,32,668,0.0,0.0,0.0,167.05333333333334
Nóvita,25,3,8,3,11,169,62,45,45,371,0.0,0.0,0.0,164.76333333333332
ETI CIMTAR,0,0,20,145,41,151,92,91,24,564,0.0,0.0,0.0,163.77333333333334
Yondó,44,54,48,53,10,81,183,88,142,703,2.0,100.0,0.0,157.19333333333333
Timbiquí,109,103,36,69,81,184,18,14,36,650,0.0,0.0,0.0,154.17333333333335
Amalfi,9,14,23,78,24,98,161,60,104,571,6.0,53.85,46.15,153.83333333333334
Tame,16,3,13,22,15,10,12,25,164,280,1.0,100.0,0.0,152.3
Puerto Lleras,53,35,8,1,6,0,6,122,184,415,0.0,0.0,0.0,150.57666666666665
Anorí,52,50,52,99,28,113,70,62,79,605,6.0,71.43,28.57,148.49
ETI Yaigojé Apaporis,0,0,14,224,53,30,125,80,53,579,1.0,100.0,0.0,146.74333333333334
Ipiales,21,11,33,5,48,171,41,33,30,393,0.0,0.0,0.0,142.81333333333333
Puerto Gaitán,43,6,10,14,1,39,178,258,93,642,2.0,100.0,0.0,136.01333333333332
Támara,11,2,3,0,6,8,14,0,90,134,1.0,50.0,50.0,133.05
San Jacinto,1,61,116,29,5,61,104,32,75,484,1.0,60.0,20.0,132.4
San Pablo,24,53,57,132,43,70,96,95,77,647,2.0,66.67,33.33,130.25666666666666
Valledupar,98,129,52,47,10,73,84,89,48,630,1.0,100.0,0.0,128.45
Santa Bárbara,9,4,12,25,26,115,41,36,56,324,4.0,62.5,0.0,124.7
Frontino,116,91,10,2,2,45,37,26,68,397,3.0,42.86,57.14,122.66333333333333
Simacota,7,2,2,2,5,78,106,75,64,341,1.0,50.0,50.0,122.27
Unguía,51,69,87,61,101,81,143,113,90,796,3.0,75.0,25.0,121.23666666666666
Puerto Parra,11,0,3,8,4,21,59,32,51,189,3.0,16.67,75.0,120.25333333333333
ETI del Río Pirá Para,0,0,7,158,22,51,120,84,79,521,0.0,0.0,0.0,119.74
Puerto Libertador,45,38,8,0,30,101,27,16,94,359,2.0,0.0,100.0,119.26666666666667
San Vicente de Chucurí,4,4,14,4,9,103,139,160,90,527,6.0,85.71,14.29,117.99333333333334
Teorama,26,81,102,87,35,77,104,66,126,704,0.0,0.0,0.0,117.95666666666666
Bajo Baudó,94,244,49,39,21,16,152,26,43,684,1.0,100.0,0.0,115.82
Tumaco,209,42,22,20,13,82,206,99,59,752,3.0,11.11,66.67,115.42
Sucre,0,0,7,2,24,50,76,41,147,347,0.0,0.0,0.0,110.67
Acandí,34,51,45,29,37,28,49,114,100,487,9.0,83.33,16.67,107.19
