FAMILIA,NUM_ESPECIES
Orchidaceae,253
Strabomantidae,128
Bromeliaceae,128
Asteraceae,111
Lamiaceae,73
Arecaceae,54
Bufonidae,47
Melastomataceae,47
Cyatheaceae,44
Dendrobatidae,41
Magnoliaceae,33
Centrolenidae,29
Fabaceae,29
Chrysobalanaceae,28
Ericaceae,27
Hygrophoraceae,26
Lecythidaceae,26
Graphidaceae,24
Araliaceae,24
Malvaceae,24
Pseudothelphusidae,23
Passifloraceae,23
Sphagnaceae,20
Rubiaceae,19
Lauraceae,17
Primulaceae,16
Clusiaceae,15
Pimelodidae,15
Hylidae,14
Hemiphractidae,14
Zamiaceae,12
Trochilidae,12
Psittacidae,11
Apidae,11
Lejeuneaceae,11
Thraupidae,11
Lobariaceae,10
Brunelliaceae,10
Trichomycteridae,9
Plethodontidae,9
Plantaginaceae,8
Euphorbiaceae,8
Grallariidae,7
Dichapetalaceae,7
Cracidae,7
Symplocaceae,7
Serranidae,7
Colubridae,7
Elaeocarpaceae,6
Gymnophthalmidae,6
Anatidae,6
Annonaceae,6
Berberidaceae,6
Tyrannidae,6
Nymphalidae,6
Icteridae,6
Passerellidae,6
Rhinocryptidae,6
Pitheciidae,6
Aquifoliaceae,5
Myristicaceae,5
Troglodytidae,5
Apocynaceae,5
Viburnaceae,5
Aotidae,5
Cotingidae,5
Atelidae,5
Meliaceae,5
Sabiaceae,5
Piperaceae,5
Parulidae,4
Dipentodontaceae,4
Cordiaceae,4
Myrtaceae,4
Actinidiaceae,4
Eumenidae,4
Podocarpaceae,4
Ramalinaceae,4
Sapindaceae,4
Theraphosidae,4
Vochysiaceae,4
Callitrichidae,4
Balaenopteridae,4
Podocnemididae,4
Cheloniidae,4
Cricetidae,4
Violaceae,4
Potamotrygonidae,4
Acanthaceae,3
Accipitridae,3
Triakidae,3
Bryconidae,3
Phyllostomidae,3
Prochilodontidae,3
Cebidae,3
Bignoniaceae,3
Scaridae,3
Roccellaceae,3
Carcharhinidae,3
Tinamidae,3
Thamnophilidae,3
Trichodactylidae,3
Aromobatidae,3
Ariidae,3
Tapiridae,3
Syngnathidae,3
Sphaerodactylidae,3
Odontophoridae,3
Didelphidae,3
Lepidostromataceae,3
Columbidae,3
Cervidae,3
Moraceae,3
Mugilidae,3
Mustelidae,3
Metteniusaceae,3
Furnariidae,3
Gecarcinidae,3
Gorgoniidae,3
Hoplocercidae,3
Dactyloidae,3
Urticaceae,3
Erythroxylaceae,3
Vireonidae,3
Anostomidae,2
Anacardiaceae,2
Kinosternidae,2
Labridae,2
Heliotropiaceae,2
Felidae,2
Formicidae,2
Acroporidae,2
Fagaceae,2
Elapidae,2
Lutjanidae,2
Malpighiaceae,2
Dicksoniaceae,2
Delphinidae,2
Daltoniaceae,2
Dicranaceae,2
Hypericaceae,2
Hippidae,2
Doradidae,2
Lepidoziaceae,2
Rhinatrematidae,2
Ramphastidae,2
Pristidae,2
Plexauridae,2
Portunidae,2
Poeciliidae,2
Chlamyphoridae,2
Penaeidae,2
Pertusariaceae,2
Phyllomedusidae,2
Trichechidae,2
Tripterygiidae,2
Zygophyllaceae,2
Salicaceae,2
Arthoniaceae,2
Balantiopsidaceae,2
Achariaceae,2
Arcidae,2
Styracaceae,2
Sulidae,2
Solanaceae,2
Sphyrnidae,2
Capitonidae,2
Caryocaraceae,2
Buthidae,2
Burseraceae,2
Bryaceae,2
Saturniidae,2
Santalaceae,2
Picidae,2
Pseudolepicoleaceae,2
Rallidae,2
Mycetopodidae,2
Natalidae,2
Narcinidae,2
Curimatidae,2
Cunoniaceae,2
Crocodylidae,2
Nyctaginaceae,2
Osteoglossidae,2
Papilionidae,2
Cerambycidae,2
Cephaloziellaceae,2
Characidae,2
Emballonuridae,1
Faviidae,1
Apteronotidae,1
Apiaceae,1
Anhimidae,1
Amaryllidaceae,1
Alopiidae,1
Alopoglossidae,1
Alaudidae,1
Alligatoridae,1
Crabronidae,1
Corvidae,1
Connaraceae,1
Columbellidae,1
Loranthaceae,1
Loricariidae,1
Dinomyidae,1
Laridae,1
Ditrichaceae,1
Juglandaceae,1
Hydnaceae,1
Humiriaceae,1
Dasypodidae,1
Dasyatidae,1
Cyrenidae,1
Dermochelyidae,1
Holothuriidae,1
Hubbardiidae,1
Iniidae,1
Istiophoridae,1
Fringillidae,1
Galbulidae,1
Geoemydidae,1
Falconidae,1
Gerreidae,1
Gesneriaceae,1
Gobiidae,1
Ginglymostomatidae,1
Gomphillaceae,1
Gymnotidae,1
Haemulidae,1
Heptapteridae,1
Ursidae,1
Ulmaceae,1
Turdidae,1
Eleutherodactylidae,1
Echimyidae,1
Verbenaceae,1
Vespidae,1
Viperidae,1
Trypetheliaceae,1
Veneridae,1
Emydidae,1
Erethizontidae,1
Molossidae,1
Ophiotrichidae,1
Cypraeidae,1
Metzgeriaceae,1
Chelidae,1
Chaenopsidae,1
Chactidae,1
Parodontidae,1
Cephaloziaceae,1
Oleaceae,1
Orthotrichaceae,1
Palinuridae,1
Ochnaceae,1
Myrmecophagidae,1
Mithracidae,1
Miniaceae,1
Megalopidae,1
Meandrinidae,1
Cuculidae,1
Crenuchidae,1
Rhinobatidae,1
Rhamnaceae,1
Procyonidae,1
Pseudopimelodidae,1
Pomacentridae,1
Polygonaceae,1
Porellaceae,1
Pottiaceae,1
Polygalaceae,1
Passalidae,1
Cichlidae,1
Phoenicopteridae,1
Physeteridae,1
Pilotrichaceae,1
Pipridae,1
Podicipedidae,1
Chloranthaceae,1
Collemataceae,1
Pentaphylacaceae,1
Centropomidae,1
Carpiliidae,1
Celastraceae,1
Caviidae,1
Cathartidae,1
Cardinalidae,1
Cardiopteridaceae,1
Rivulidae,1
Rhizophoraceae,1
Canidae,1
Capparaceae,1
Carangidae,1
Ricciaceae,1
Cactaceae,1
Byssolomataceae,1
Sematophyllaceae,1
Brachytheciaceae,1
Scombridae,1
Scarabaeidae,1
Scarabeidae,1
Sciaenidae,1
Rutaceae,1
Sapotaceae,1
Caricaceae,1
Siparunaceae,1
Splachnaceae,1
Serrasalmidae,1
Caenolestidae,1
Callichthyidae,1
Ardeidae,1
Arapaimidae,1
Strigidae,1
Strombidae,1
Stichopodidae,1
Calophyllaceae,1
Auchenipteridae,1
Balistidae,1
Teloschistaceae,1
Tegulidae,1
Tayassuidae,1
Batrachoididae,1
Thymelaeaceae,1
Thuidiaceae,1
Thelenellaceae,1
Testudinidae,1
