departamento,municipio,riqueza_especies,especies_CR,especies_EN,especies_VU,indice_amenaza,indice_biodiversidad,pct_bosque,pct_palma,pct_agro,pct_otras,anp,resguardo,dist_glad_media,glad_presion
Amazonas,ETI Bajo Río Caquetá,1,0,0,1,1,1,0.8333333333333334,0.0,0.16666666666666666,-2.7755575615628914e-17,0,1,12504.716666666667,7.996343005798681e-05
Antioquia,Abejorral,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,10411.3,9.60402600770243e-05
Antioquia,Amagá,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,3531.7,0.00028306960681631616
Antioquia,Amalfi,6,0,2,4,8,48,0.47619047619047616,0.0,0.5238095238095238,0.0,0,0,3468.904761904762,0.0002881923478069935
Antioquia,Andes,2,0,1,1,3,6,0.5,0.0,0.5,0.0,0,0,4471.55,0.00022358609741646263
Antioquia,Angostura,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,23998.45,4.1667621549660515e-05
Antioquia,Anorí,6,0,3,3,9,54,0.8888888888888888,0.0,0.1111111111111111,5.551115123125783e-17,0,0,2935.141666666667,0.0003405830213687464
Antioquia,Apartadó,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,5761.4,0.0001735388032764126
Antioquia,Arboletes,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,36173.5125,2.764377267005326e-05
Antioquia,Barbosa,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,34097.6,2.9326717225927165e-05
Antioquia,Bello,4,0,0,4,4,16,0.09722222222222222,0.0,0.6388888888888888,0.26388888888888895,0,0,12544.083333333334,7.971250357045588e-05
Antioquia,Belmira,3,0,1,2,4,12,0.3333333333333333,0.0,0.0,0.6666666666666667,0,0,19949.13888888889,5.012496432077192e-05
Antioquia,Betania,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,7501.400000000001,0.00013329068031563233
Antioquia,Caicedo,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,5642.7,0.00017718872370962313
Antioquia,Caramanta,1,0,1,0,2,2,0.3333333333333333,0.0,0.6666666666666666,1.1102230246251565e-16,0,0,3945.6,0.0002533826584908529
Antioquia,Carepa,2,1,1,0,5,10,0.0,0.0,0.9565217391304348,0.04347826086956519,0,0,6151.691304347827,0.00016253050096846976
Antioquia,Carmen de Viboral,6,0,2,4,8,48,1.0,0.0,0.0,0.0,0,0,4077.0454545454545,0.00024521551099568643
Antioquia,Carolina,1,0,0,1,1,1,0.0,0.0,0.0,1.0,0,0,22567.9,4.430876117134641e-05
Antioquia,Caucasia,2,0,2,0,4,8,0.0,0.0,0.9230769230769231,0.07692307692307687,0,0,20805.723076923077,4.806138844175366e-05
Antioquia,Chigorodó,2,1,1,0,5,10,0.0,0.0,1.0,0.0,0,0,11617.745454545455,8.606781204667692e-05
Antioquia,Cocorná,2,0,1,1,3,6,0.2,0.0,0.8,0.0,0,0,7550.873333333334,0.00013241747522248342
Antioquia,Concordia,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,14623.8,6.837700344620098e-05
Antioquia,Copacabana,2,1,0,1,4,8,0.0,0.0,1.0,0.0,0,0,22518.5,4.440595927973534e-05
Antioquia,Cáceres,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,9598.6,0.00010417100712529688
Antioquia,Ebéjico,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,4628.2,0.0002160200466603301
Antioquia,El Bagre,2,0,2,0,4,8,0.5454545454545454,0.0,0.0,0.4545454545454546,0,0,708.4727272727272,0.0014094974500909769
Antioquia,Envigado,2,0,1,1,3,6,0.5,0.0,0.0,0.5,0,0,5437.1,0.00018388775491440023
Antioquia,Frontino,3,0,1,2,4,12,0.48484848484848486,0.0,0.5151515151515151,0.0,1,1,1635.9848484848487,0.0006108792032654269
Antioquia,Girardota,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,25016.1,3.9972658701448214e-05
Antioquia,Granada,2,0,1,1,3,6,0.0,0.0,1.0,0.0,0,0,7776.85,0.00012857023470496344
Antioquia,Guarne,4,0,2,2,6,24,0.125,0.0,0.5,0.375,1,0,23691.6625,4.220716012816204e-05
Antioquia,Guatapé,2,0,2,0,4,8,0.0,0.0,0.5,0.5,0,0,7535.049999999999,0.00013269551024741079
Antioquia,Jardín,3,0,2,1,5,15,0.7777777777777778,0.0,0.2222222222222222,0.0,0,0,6954.377777777777,0.0001437736427768122
Antioquia,Jericó,2,0,2,0,4,8,0.0,0.0,1.0,0.0,0,0,15046.428571428574,6.645653742452435e-05
Antioquia,La Ceja,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,10778.7,9.276696011948383e-05
